uniprot_id	molecule_chembl_id	molecule_pref_name	ave_standard_value..nanoMolar.	ave_pchembl	assay_type	source	documents_id	family
O43570	CHEMBL18	ETHOXZOLAMIDE	34.02	7.5	B	1	CHEMBL4138187, CHEMBL2163195, CHEMBL3120137, CHEMBL2331308	other
O60674	CHEMBL221959	TOFACITINIB	4.5	8.6	B	1	CHEMBL1908390, CHEMBL2150873, CHEMBL2385026, CHEMBL3593193, CHEMBL3797127, CHEMBL1287810, CHEMBL3102787, CHEMBL1151738, CHEMBL1629452, CHEMBL4257589, CHEMBL3351789, CHEMBL3867460, CHEMBL1649080, CHEMBL3112442	kinase
O60674	CHEMBL2105759	BARICITINIB	13.86	7.99	B	1	CHEMBL3763089, CHEMBL3297690, CHEMBL3621116	kinase
O60674	CHEMBL1789941	RUXOLITINIB	6.17	8.89	B	1	CHEMBL1908390, CHEMBL3351789, CHEMBL3297690, CHEMBL2385054, CHEMBL2176876, CHEMBL2150873, CHEMBL3797141, CHEMBL2375236, CHEMBL3779778, CHEMBL4229421, CHEMBL3112442	kinase
O60840	CHEMBL6966	VERAPAMIL	200	6.7	F	1	CHEMBL3436045	ion_channel
O76074	CHEMBL192	SILDENAFIL	11.59	8.23	B, F	1, 15	CHEMBL4190371, CHEMBL4196172, CHEMBL1146047, CHEMBL1148396, CHEMBL3400105, CHEMBL1156665, CHEMBL1150234, CHEMBL1133760, CHEMBL4011656, CHEMBL1147542, CHEMBL1134770, CHEMBL4196089, CHEMBL1926502, CHEMBL3352246, CHEMBL1146771, CHEMBL4265950, CHEMBL1909046, CHEMBL4190376, CHEMBL1139564, CHEMBL1156541, CHEMBL1134846, CHEMBL4196066, CHEMBL1139500, CHEMBL1157119	other
O95977	CHEMBL314854	FINGOLIMOD	0.3	9.52	B	1	CHEMBL3085709	gpcr
P00374	CHEMBL34259	METHOTREXATE	32.81	8.36	B	1	CHEMBL1127804, CHEMBL2385040, CHEMBL4004880, CHEMBL1129679, CHEMBL1131724, CHEMBL4007411, CHEMBL1124621, CHEMBL1129353, CHEMBL1125236, CHEMBL1152608, CHEMBL1125907, CHEMBL3877300, CHEMBL1153868, CHEMBL1129301, CHEMBL1156232, CHEMBL4004829, CHEMBL1125723, CHEMBL4052640, CHEMBL1127819, CHEMBL1121411, CHEMBL1134503, CHEMBL1146314, CHEMBL4219247, CHEMBL1128558, CHEMBL4145451, CHEMBL1140748, CHEMBL3217611, CHEMBL3745645, CHEMBL1133691, CHEMBL1125453, CHEMBL2380288, CHEMBL3751663, CHEMBL1133086, CHEMBL1128249, CHEMBL1129539	other
P00519	CHEMBL941	IMATINIB	11.59	8.12	B	1	CHEMBL1908390, CHEMBL1150977, CHEMBL1144455, CHEMBL1773066, CHEMBL2401695, CHEMBL3217496	kinase
P00533	CHEMBL3353410	OSIMERTINIB	8.77	8.23	B	1	CHEMBL4007434, CHEMBL4219138, CHEMBL3785081, CHEMBL3797107, CHEMBL4118234, CHEMBL3785051, CHEMBL3758169, CHEMBL4219100, CHEMBL3751728, CHEMBL4177590, CHEMBL4266062, CHEMBL4052618, CHEMBL4219174, CHEMBL4043110, CHEMBL4152247, CHEMBL4257480	kinase
P00742	CHEMBL231779	APIXABAN	146.69	7.81	B	1	CHEMBL3861997, CHEMBL3351793, CHEMBL4024723	other
P00742	CHEMBL198362	RIVAROXABAN	103.13	8.26	B	1, 37	CHEMBL3351225, CHEMBL2151025, CHEMBL3414546, CHEMBL2157951, CHEMBL2390916, CHEMBL4229329, CHEMBL3638623, CHEMBL3612033, CHEMBL3132772	other
P00915	CHEMBL18	ETHOXZOLAMIDE	18.3	7.75	B	1	CHEMBL2390891, CHEMBL2331308, CHEMBL3120137	other
P00918	CHEMBL18	ETHOXZOLAMIDE	56.1	8.27	B	1	CHEMBL1955777, CHEMBL1123900, CHEMBL1141924, CHEMBL2331308, CHEMBL1124376, CHEMBL1142836, CHEMBL2390891, CHEMBL2439997, CHEMBL1944506	other
P03372	CHEMBL46740	BAZEDOXIFENE	19.32	8.15	B, F	1, 37	CHEMBL1134479, CHEMBL3639280, CHEMBL1141200	nuclear_receptor
P04035	CHEMBL1064	SIMVASTATIN	16.84	8.1	B	1, 15	CHEMBL1145435, CHEMBL1141986, CHEMBL4033775, CHEMBL1909046, CHEMBL1144315, CHEMBL3351651	other
P04035	CHEMBL1487	ATORVASTATIN	7.68	8.42	B	1, 15, 37	CHEMBL3886749, CHEMBL1144315, CHEMBL2346500, CHEMBL1909046	other
P04049	CHEMBL1336	SORAFENIB	10.06	8.17	B	1	CHEMBL1145637, CHEMBL4219051, CHEMBL3259740, CHEMBL1140099, CHEMBL2046400, CHEMBL1138576, CHEMBL1152273, CHEMBL4049397	kinase
P04150	CHEMBL1201207	BETAMETHASONE PHOSPHORIC ACID	5.97	8.26	B	15	CHEMBL1909046	nuclear_receptor
P04150	CHEMBL389621	HYDROCORTISONE	19	7.75	B	15	CHEMBL1909046	nuclear_receptor
