"ID","URL","PDF","Country","Province","Date","Trial status","Design","Blinding","Arms","COVID-19 status","Severity","Patient setting","Outcome","Treatment","Size"
"NCT04359095","https://ClinicalTrials.gov/show/NCT04359095",NA,"Colombia","Huila","2020-Apr","Not Recruiting","Randomized","Open-Label",4,"Yes","Mixed","Hospitalized",NA,"HCQ, LPV/r, AZT",1600
"NCT04321993","https://ClinicalTrials.gov/show/NCT04321993",NA,"Canada","Nova Scotia","2020-Mar","Recruiting","Non-Randomized","Open-Label",3,"Confirmed","Mixed","Hospitalized","Mortality, Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance, Pneumonia or ARDS, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Adverse Events, Serious Adverse Events, SpO2","LPV/r, HCQ, Baricitinib, Sarilumab",1000
"NCT04361942","https://ClinicalTrials.gov/show/NCT04361942",NA,"Spain","Valladolid","2020-Apr","Not Recruiting","Randomized","Triple",2,"Yes","Severe","ICU","Mortality, Viral Load or Clearance, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO","Stem cell",24
"NCT04328285","https://ClinicalTrials.gov/show/NCT04328285",NA,"France","Paris","2020-Mar","Recruiting","Randomized","Triple",4,"Healthy",NA,"Healthcare Workers","Mortality, Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance, Treatment-emergent Adverse Events","HCQ, LPV/r,",1200
"NCT04330638","https://ClinicalTrials.gov/show/NCT04330638",NA,"Belgium","Brussels","2020-Apr","Recruiting","Randomized","Open-Label",4,"Confirmed Or Suspected","Severe","Hospitalized And ICU","Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance, Pneumonia or ARDS, Non-invasive Ventilation, Fever, Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-1, IL-6, White Blood Cell Count, Neutrophils, Platelet Count, PaO2-FiO2, Radiographic Findings, Hypoxia","Anakinra, siltuximab, TCZ",342
"NCT04330638","https://ClinicalTrials.gov/show/NCT04330638",NA,"Belgium","Antwerp","2020-Apr","Recruiting","Randomized","Open-Label",4,"Confirmed Or Suspected","Severe","Hospitalized And ICU","Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance, Pneumonia or ARDS, Non-invasive Ventilation, Fever, Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-1, IL-6, White Blood Cell Count, Neutrophils, Platelet Count, PaO2-FiO2, Radiographic Findings, Hypoxia","Anakinra, siltuximab, TCZ",342
"NCT04342182","https://ClinicalTrials.gov/show/NCT04342182",NA,"Netherlands","Zuid-Holland","2020-Apr","Recruiting","Randomized","Single",2,"Confirmed","Severe","Hospitalized","Mortality, ICU Admission, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Adverse Events, Treatment-emergent Adverse Events, Serious Adverse Events, C-Reactive Protein, PaO2-FiO2","Plasma",426
"NCT04342182","https://ClinicalTrials.gov/show/NCT04342182",NA,"Netherlands","Amsterdam","2020-Apr","Recruiting","Randomized","Single",2,"Confirmed","Severe","Hospitalized","Mortality, ICU Admission, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Adverse Events, Treatment-emergent Adverse Events, Serious Adverse Events, C-Reactive Protein, PaO2-FiO2","Plasma",426
"NCT04343092","https://ClinicalTrials.gov/show/NCT04343092",NA,"Iraq","Baghdad","2020-Apr","Recruiting","Randomized","Double",4,"Yes","Mixed","Mixed","Mortality, Hospitalization, Clinical Improvement Score (Any), Invasive Mechanical Ventilation or ECMO, Treatment-emergent Adverse Events, Serious Adverse Events, SpO2","HCQ, Ivermectin",50
"NCT04351724","https://ClinicalTrials.gov/show/NCT04351724",NA,"Austria","Tirol","2020-Apr","Recruiting","Randomized","Open-Label",9,"Yes","Mixed","Mixed",NA,"HCQ, LPV/r, Multiple others",500
