uniprot_id	molecule_chembl_id	molecule_pref_name	mechanism_of_action	action_type	evidence
O43451	CHEMBL1561	MIGLITOL	Maltase-glucoamylase inhibitor	INHIBITOR	PubMed, DailyMed
O43451	CHEMBL1566	ACARBOSE	Maltase-glucoamylase inhibitor	INHIBITOR	DailyMed, InterPro
O76074	CHEMBL1520	VARDENAFIL	Phosphodiesterase 5A inhibitor	INHIBITOR	DailyMed
O76074	CHEMBL192	SILDENAFIL	Phosphodiesterase 5A inhibitor	INHIBITOR	DailyMed
O76074	CHEMBL2103849	UDENAFIL	Phosphodiesterase 5A inhibitor	INHIBITOR	PubMed
O76074	CHEMBL779	TADALAFIL	Phosphodiesterase 5A inhibitor	INHIBITOR	DailyMed
O76074	CHEMBL1963681	AVANAFIL	Phosphodiesterase 5A inhibitor	INHIBITOR	FDA
P00374	CHEMBL34259	METHOTREXATE	Dihydrofolate reductase inhibitor	INHIBITOR	DailyMed
P00374	CHEMBL1201746	PRALATREXATE	Dihydrofolate reductase inhibitor	INHIBITOR	DailyMed
P00374	CHEMBL225072	PEMETREXED	Dihydrofolate reductase inhibitor	INHIBITOR	DailyMed
P00519	CHEMBL288441	BOSUTINIB	Tyrosine-protein kinase ABL inhibitor	INHIBITOR	Expert
P00519	CHEMBL1738757	REBASTINIB	Tyrosine-protein kinase ABL inhibitor	INHIBITOR	PubMed
P00519	CHEMBL3545177	AZD-0424	Tyrosine-protein kinase ABL inhibitor	INHIBITOR	ClinicalTrials, PubMed
P00519	CHEMBL217092	SARACATINIB	Tyrosine-protein kinase ABL inhibitor	INHIBITOR	PubMed
P00519	CHEMBL941	IMATINIB	Tyrosine-protein kinase ABL inhibitor	INHIBITOR	DailyMed, Wikipedia
P00519	CHEMBL495727	AT-9283	Tyrosine-protein kinase ABL inhibitor	INHIBITOR	PubMed
P00519	CHEMBL1946170	REGORAFENIB	Tyrosine-protein kinase ABL inhibitor	INHIBITOR	Expert
P00519	CHEMBL3545085	XL-228	Tyrosine-protein kinase ABL inhibitor	INHIBITOR	PubMed, DOI, Other
P00519	CHEMBL4208229	ASCIMINIB	Tyrosine-protein kinase ABL inhibitor	INHIBITOR	Other, Other
P00519	CHEMBL3545413	FLUMATINIB	Tyrosine-protein kinase ABL inhibitor	INHIBITOR	PubMed, PubMed
P00519	CHEMBL1421	DASATINIB	Tyrosine-protein kinase ABL inhibitor	INHIBITOR	DailyMed
P00519	CHEMBL1908397	KW-2449	Tyrosine-protein kinase ABL inhibitor	INHIBITOR	PubMed, PubMed
P00519	CHEMBL255863	NILOTINIB	Tyrosine-protein kinase ABL inhibitor	INHIBITOR	DailyMed
P00519	CHEMBL3545150	AZM-475271	Tyrosine-protein kinase ABL inhibitor	INHIBITOR	Other
P00519	CHEMBL206834	BAFETINIB	Tyrosine-protein kinase ABL inhibitor	INHIBITOR	PubMed
P00533	CHEMBL607707	PELITINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed, PubMed
P00533	CHEMBL2109389	IMGATUZUMAB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed
P00533	CHEMBL1201577	CETUXIMAB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	DailyMed
P00533	CHEMBL554	LAPATINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	DailyMed
P00533	CHEMBL3353410	OSIMERTINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed, PubMed, DailyMed
P00533	CHEMBL939	GEFITINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	DailyMed
P00533	CHEMBL2110732	DACOMITINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed, Other
P00533	CHEMBL3545244	ALLITINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed
P00533	CHEMBL2108038	MATUZUMAB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed
P00533	CHEMBL258940	FALNIDAMOL	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed, PubMed
P00533	CHEMBL3545311	BRIGATINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed, Other, Other
P00533	CHEMBL3353410	OSIMERTINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	DailyMed, PubMed, PubMed
P00533	CHEMBL1173655	AFATINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	DailyMed
P00533	CHEMBL2103842	VARLITINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	Other, Other
P00533	CHEMBL3545396	BMS-690514	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed, PubMed
P00533	CHEMBL553	ERLOTINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	DailyMed
P00533	CHEMBL3545180	THELIATINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	Other, ClinicalTrials
P00533	CHEMBL2108359	NIMOTUZUMAB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed
P00533	CHEMBL1963502	PKI-166	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed
P00533	CHEMBL3707277	DEPATUXIZUMAB MAFODOTIN	Epidermal growth factor receptor erbB1 binding agent	BINDING AGENT	PubMed
P00533	CHEMBL3544983	TESEVATINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed, PubMed, Other
P00533	CHEMBL1614725	TAK-285	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed, DOI
P00533	CHEMBL180022	NERATINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	FDA, PubMed, PubMed
P00533	CHEMBL2109395	ZATUXIMAB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed
P00533	CHEMBL31965	CANERTINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed, PubMed
P00533	CHEMBL422872	AZD-4769	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	Other
P00533	CHEMBL49120	PD-0166285	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed
P00533	CHEMBL2408045	SAPITINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed, PubMed
P00533	CHEMBL3545002	MP-412	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed, PubMed
P00533	CHEMBL3545200	S-222611	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed, PubMed
P00533	CHEMBL3545088	PUQUITINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed, PubMed, DOI
P00533	CHEMBL3787344	NAZARTINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	Other, ClinicalTrials, DOI
P00533	CHEMBL3544956	PYROTINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	Other
P00533	CHEMBL3545121	EPITINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	Other, ClinicalTrials
P00533	CHEMBL2107861	ZALUTUMUMAB	Epidermal growth factor receptor erbB1 antagonist	ANTAGONIST	PubMed
P00533	CHEMBL3786343	OLMUTINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	Other, PubMed
P00533	CHEMBL2109390	MAB-425	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed
P00533	CHEMBL2109393	RG-7160	Epidermal growth factor receptor erbB1 antagonist	ANTAGONIST	PubMed
P00533	CHEMBL598797	CUDC-101	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed
P00533	CHEMBL3545308	ROCILETINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed
P00533	CHEMBL2109388	FUTUXIMAB	Epidermal growth factor receptor erbB1 antagonist	ANTAGONIST	PubMed
P00533	CHEMBL2110732	DACOMITINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	Other, PubMed
P00533	CHEMBL587723	AEE-788	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed
P00533	CHEMBL180022	NERATINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed, PubMed, FDA
P00533	CHEMBL2109391	MDX-447	Epidermal growth factor receptor erbB1 cross-linking agent	CROSS-LINKING AGENT	PubMed
P00533	CHEMBL1743047	NECITUMUMAB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	DailyMed
P00533	CHEMBL1201827	PANITUMUMAB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	DailyMed
P00533	CHEMBL3137345	DULIGOTUZUMAB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed
P00533	CHEMBL3545133	JNJ-26483327	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed, DOI
P00533	CHEMBL3545235	SIMOTINIB	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed, PubMed
P00533	CHEMBL2029988	CEP-32496	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	Other
P00533	CHEMBL1645462	AC-480	Epidermal growth factor receptor erbB1 inhibitor	INHIBITOR	PubMed, PubMed
P00734	CHEMBL1201662	DESIRUDIN	Thrombin inhibitor	INHIBITOR	FDA
P00734	CHEMBL539697	DABIGATRAN ETEXILATE	Thrombin inhibitor	INHIBITOR	DailyMed
P00734	CHEMBL522038	XIMELAGATRAN	Thrombin inhibitor	INHIBITOR	PMC, PMC
P00734	CHEMBL1201554	ANTITHROMBIN ALFA	Thrombin inhibitor	INHIBITOR	Other, PubMed, PubMed, PubMed, Other
P00734	CHEMBL2103749	BIVALIRUDIN	Thrombin inhibitor	INHIBITOR	DailyMed
P00734	CHEMBL1201666	LEPIRUDIN	Thrombin inhibitor	INHIBITOR	FDA
P00734	CHEMBL48361	DABIGATRAN	Thrombin inhibitor	INHIBITOR	PubMed
P00734	CHEMBL1166	ARGATROBAN	Thrombin inhibitor	INHIBITOR	DailyMed
P00747	CHEMBL3707226	DEFIBROTIDE SODIUM	Plasminogen activator	ACTIVATOR	FDA, PubMed
P00747	CHEMBL2108250	ANISTREPLASE	Plasminogen activator	ACTIVATOR	PubMed, PubMed, PubMed, PubMed
P00747	CHEMBL2109084	DESMOTEPLASE	Plasminogen activator	ACTIVATOR	PubMed
P00747	CHEMBL877	TRANEXAMIC ACID	Plasminogen inhibitor	INHIBITOR	DailyMed
P00747	CHEMBL2108791	TENECTEPLASE	Plasminogen activator	ACTIVATOR	Other
P00747	CHEMBL2107885	RETEPLASE	Plasminogen activator	ACTIVATOR	DailyMed
P00747	CHEMBL1046	AMINOCAPROIC ACID	Plasminogen inhibitor	INHIBITOR	DailyMed
P00747	CHEMBL1201420	UROKINASE	Plasminogen activator	ACTIVATOR	DailyMed
P00747	CHEMBL1201619	APROTININ	Plasminogen inhibitor	INHIBITOR	DailyMed
P00747	CHEMBL2108147	STREPTOKINASE	Plasminogen activator	ACTIVATOR	PubMed, PubMed, PubMed
P00747	CHEMBL1201593	ALTEPLASE	Plasminogen activator	ACTIVATOR	DailyMed
P00813	CHEMBL1580	PENTOSTATIN	Adenosine deaminase inhibitor	INHIBITOR	DailyMed
P00918	CHEMBL20	ACETAZOLAMIDE	Carbonic anhydrase II inhibitor	INHIBITOR	PubMed
P00918	CHEMBL17	DICHLORPHENAMIDE	Carbonic anhydrase II inhibitor	INHIBITOR	PubMed
P00918	CHEMBL220491	BRINZOLAMIDE	Carbonic anhydrase II inhibitor	INHIBITOR	DailyMed
P00918	CHEMBL19	METHAZOLAMIDE	Carbonic anhydrase II inhibitor	INHIBITOR	PubMed, DailyMed
P00918	CHEMBL218490	DORZOLAMIDE	Carbonic anhydrase II inhibitor	INHIBITOR	DailyMed
P00918	CHEMBL220492	TOPIRAMATE	Carbonic anhydrase II inhibitor	INHIBITOR	PubMed, DailyMed
P00918	CHEMBL166863	POLMACOXIB	Carbonic anhydrase II inhibitor	INHIBITOR	PubMed, PubMed
P01008	CHEMBL1201448	ARDEPARIN SODIUM	Antithrombin-III activator	ACTIVATOR	ISBN, PubMed, DailyMed
P01008	CHEMBL1201534	DANAPAROID SODIUM	Antithrombin-III activator	ACTIVATOR	FDA, ISBN
P01008	CHEMBL1201476	ENOXAPARIN SODIUM	Antithrombin-III activator	ACTIVATOR	DailyMed
P01008	CHEMBL2108806	BEMIPARIN SODIUM	Antithrombin-III activator	ACTIVATOR	PubMed, PubMed, PubMed, PubMed, PubMed
P01008	CHEMBL1201414	TINZAPARIN SODIUM	Antithrombin-III activator	ACTIVATOR	ISBN, DailyMed
P01008	CHEMBL2108718	SEMULOPARIN SODIUM	Antithrombin-III inhibitor	INHIBITOR	PubMed
P01008	CHEMBL1201460	DALTEPARIN SODIUM	Antithrombin-III activator	ACTIVATOR	FDA
P01008	CHEMBL1201202	FONDAPARINUX	Antithrombin-III activator	ACTIVATOR	FDA
P01008	CHEMBL1201513	HEPARIN CALCIUM	Antithrombin-III activator	ACTIVATOR	ISBN, DailyMed
P01008	CHEMBL1201657	HEPARIN SODIUM	Antithrombin-III activator	ACTIVATOR	ISBN, DailyMed
P03372	CHEMBL83	TAMOXIFEN	Estrogen receptor alpha modulator	MODULATOR	PubMed, DailyMed, Wikipedia
P03372	CHEMBL1201477	POLYESTRADIOL PHOSPHATE	Estrogen receptor alpha agonist	AGONIST	PubMed
P03372	CHEMBL135	ESTRADIOL	Estrogen receptor alpha agonist	AGONIST	DailyMed, Wikipedia
P03372	CHEMBL1200430	ESTRADIOL ACETATE	Estrogen receptor alpha agonist	AGONIST	DailyMed, Wikipedia
P03372	CHEMBL1200973	ESTRADIOL CYPIONATE	Estrogen receptor alpha agonist	AGONIST	DailyMed, Wikipedia
P03372	CHEMBL3545211	SR16234	Estrogen receptor alpha antagonist	ANTAGONIST	PubMed, Other
P03372	CHEMBL1018	DIENESTROL	Estrogen receptor alpha agonist	AGONIST	ISBN, PubMed
P03372	CHEMBL1511	ESTRADIOL VALERATE	Estrogen receptor alpha agonist	AGONIST	DailyMed
P03372	CHEMBL2355051	CLOMIPHENE	Estrogen receptor alpha modulator	MODULATOR	Wikipedia, FDA
P03372	CHEMBL411	DIETHYLSTILBESTROL	Estrogen receptor alpha agonist	AGONIST	PubMed
P03372	CHEMBL494753	ESTRONE SULFURIC ACID	Estrogen receptor alpha agonist	AGONIST	FDA
P03372	CHEMBL3545017	GTX-758	Estrogen receptor alpha agonist	AGONIST	Other, PubMed, PubMed, PubMed
P03372	CHEMBL691	ETHINYL ESTRADIOL	Estrogen receptor alpha agonist	AGONIST	ISBN
P03372	CHEMBL1405	ESTRONE	Estrogen receptor alpha agonist	AGONIST	PubMed
P03372	CHEMBL3545015	RAD1901	Estrogen receptor alpha degrader	DEGRADER	PubMed, Other, Other
P03372	CHEMBL3581693	BRILANESTRANT	Estrogen receptor alpha antagonist	ANTAGONIST	Other
P03372	CHEMBL1201151	MESTRANOL	Estrogen receptor alpha agonist	AGONIST	ISBN, PubMed, Wikipedia
P03952	CHEMBL1201837	ECALLANTIDE	Plasma kallikrein inhibitor	INHIBITOR	DailyMed
P03952	CHEMBL1201619	APROTININ	Plasma kallikrein inhibitor	INHIBITOR	DailyMed
P03952	CHEMBL3545189	LANADELUMAB	Plasma kallikrein inhibitor	INHIBITOR	PubMed
P04035	CHEMBL1064	SIMVASTATIN	HMG-CoA reductase inhibitor	INHIBITOR	DailyMed
P04035	CHEMBL1201753	PITAVASTATIN	HMG-CoA reductase inhibitor	INHIBITOR	FDA
P04035	CHEMBL1496	ROSUVASTATIN	HMG-CoA reductase inhibitor	INHIBITOR	DailyMed
P04035	CHEMBL1487	ATORVASTATIN	HMG-CoA reductase inhibitor	INHIBITOR	DailyMed
P04035	CHEMBL1477	CERIVASTATIN	HMG-CoA reductase inhibitor	INHIBITOR	ISBN
P04035	CHEMBL2220442	FLUVASTATIN	HMG-CoA reductase inhibitor	INHIBITOR	DailyMed
P04035	CHEMBL1144	PRAVASTATIN	HMG-CoA reductase inhibitor	INHIBITOR	DailyMed
P04035	CHEMBL503	LOVASTATIN	HMG-CoA reductase inhibitor	INHIBITOR	DailyMed
P04150	CHEMBL650	METHYLPREDNISOLONE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed, PubMed
P04150	CHEMBL1201109	DESONIDE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed, PubMed
P04150	CHEMBL1766	DESOXIMETASONE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed, PubMed
P04150	CHEMBL1650	CORTISONE ACETATE	Glucocorticoid receptor agonist	AGONIST	ISBN
P04150	CHEMBL3137316	FOSDAGROCORAT	Glucocorticoid receptor modulator	MODULATOR	Other, Other
P04150	CHEMBL1201231	PREDNISOLONE PHOSPHORIC ACID	Glucocorticoid receptor agonist	AGONIST	ISBN, PubMed, Wikipedia
P04150	CHEMBL1200384	BETAMETHASONE DIPROPIONATE	Glucocorticoid receptor agonist	AGONIST	PubMed, DailyMed, Wikipedia
P04150	CHEMBL1200449	TRIAMCINOLONE DIACETATE	Glucocorticoid receptor agonist	AGONIST	ISBN, PubMed, Wikipedia, FDA
P04150	CHEMBL1200732	AMCINONIDE	Glucocorticoid receptor agonist	AGONIST	PubMed
P04150	CHEMBL1364144	METHYLPREDNISOLONE ACETATE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed, PubMed
P04150	CHEMBL1683	HYDROCORTISONE BUTYRATE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed, PubMed, PubMed
P04150	CHEMBL1200386	PREDNICARBATE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed
P04150	CHEMBL1200845	HALCINONIDE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed
P04150	CHEMBL1200500	BECLOMETHASONE DIPROPIONATE	Glucocorticoid receptor agonist	AGONIST	DailyMed
P04150	CHEMBL1512	FLUNISOLIDE	Glucocorticoid receptor agonist	AGONIST	ISBN, DailyMed
P04150	CHEMBL1473	FLUTICASONE PROPIONATE	Glucocorticoid receptor agonist	AGONIST	PubMed, PubMed, PubMed, PubMed
