molecule_chembl_id	CHEMBL_PHASE	PREF_NAME	IN_TRIALS	PRECLINICAL	ELLINGER_ACTIVE	TOURET_ACTIVE	WESTON_ACTIVE	JEON_ACTIVE	RIVA_ACTIVE	SI_ACTIVE	GORDON_ACTIVE
CHEMBL1000	4	CETIRIZINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1002	4	LEVOSALBUTAMOL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1004	4	DOXYLAMINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1006	4	AMIFOSTINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL100622	0	HEXAMETHONIUM	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1008	4	BEPRIDIL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1009	4	LEVODOPA	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL101	4	PHENYLBUTAZONE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL101253	3	VATALANIB	0	0	0.5	0	-1	-1	-1	-1	-1
CHEMBL1013	4	LORACARBEF	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL101309	0	AVASIMIBE	0	0	0.3	-1	-1	-1	-1	-1	-1
CHEMBL101326	0	FIPRONIL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1016	3	CANDESARTAN	0	0	-1	1	-1	-1	-1	-1	-1
CHEMBL1017	4	TELMISARTAN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1018	4	DIENESTROL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1020	4	TOLMETIN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1021	4	NEPAFENAC	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL10247	0	THIORPHAN	0	1	-1	0	-1	-1	-1	-1	-1
CHEMBL1027	4	TIAGABINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL103	4	PROGESTERONE	0	0	-1	0	-1	-1	-1	-1	0
CHEMBL10316	3	IDAZOXAN	0	0	-1	1	-1	-1	-1	-1	-1
CHEMBL1037	4	GUANADREL	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL104	4	CLOTRIMAZOLE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1042	4	CHOLECALCIFEROL	1	0	-1	0	-1	-1	-1	-1	-1
CHEMBL104264	0	H-89	0	1	-1	-1	-1	-1	-1	-1	0
CHEMBL1043	4	DAPSONE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1046	4	AMINOCAPROIC ACID	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL105	4	MITOMYCIN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1051	4	LATANOPROST	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1054	4	TRICHLORMETHIAZIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1055	4	CHLORTHALIDONE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1059	4	PREGABALIN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL106	4	FLUCONAZOLE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1064	4	SIMVASTATIN	1	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1068	4	OXCARBAZEPINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1069	4	VALSARTAN	1	0	-1	0	-1	-1	-1	-1	-1
CHEMBL107	4	COLCHICINE	1	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1070	4	NABUMETONE	0	0	-1	1	-1	-1	-1	-1	-1
CHEMBL1071	4	OXAPROZIN	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1072	4	BUMETANIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1073	4	GLIPIZIDE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1075	4	MORICIZINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1076211	2	TOLPERISONE	0	0	-1	1	-1	-1	-1	-1	-1
CHEMBL1077	4	BROMFENAC	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1077896	4	ROPIVACAINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1079	4	TIZANIDINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1079576	0	PHENPROBAMATE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1079787	0	TODRALAZINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL108	4	CABAMAZEPINE	0	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1082	4	AMOXICILLIN	1	0	-1	0	-1	-1	-1	-1	-1
CHEMBL1085699	3	MANIDIPINE 6300	0	0	-1	0	-1	-1	-1	-1	-1
